code,name,system,signal,entry_signal,exit_signal,watch_signal,close,high,n_high,n_low,n_high_ratio,atr,entry_price
PYPL,PYPL,System2(중장기),관심,False,False,True,59.9,60.65,60.76,54.94,0.998,1.4,
PSX,PSX,System1(단기),진입,True,False,False,234.14,235.09,232.89,200.31,1.009,7.18,
PSX,PSX,System2(중장기),진입,True,False,False,234.14,235.09,232.89,197.62,1.009,7.18,
PNC,PNC,System1(단기),관심,False,False,True,256.49,257.55,258.13,248.17,0.998,3.78,
PNC,PNC,System2(중장기),관심,False,False,True,256.49,257.55,258.13,246.61,0.998,3.78,
PTC,PTC,System1(단기),관심,False,False,True,151.63,155.1,154.59,133.25,1.003,6.05,
PTC,PTC,System2(중장기),관심,False,False,True,151.63,155.1,154.59,111.93,1.003,6.05,
RJF,RJF,System1(단기),관심,False,False,True,181.25,182.15,182.73,174.55,0.997,3.72,
RJF,RJF,System2(중장기),관심,False,False,True,181.25,182.15,182.73,163.01,0.997,3.72,
RMD,RMD,System1(단기),관심,False,False,True,226.15,228.55,227.76,202.0,1.003,7.22,
RMD,RMD,System2(중장기),관심,False,False,True,226.15,228.55,227.76,190.21,1.003,7.22,
RVTY,RVTY,System1(단기),관심,False,False,True,117.43,117.72,118.34,107.73,0.995,4.06,
RVTY,RVTY,System2(중장기),관심,False,False,True,117.43,117.72,118.34,102.37,0.995,4.06,
CRM,CRM,System1(단기),관심,False,False,True,196.48,204.4,202.99,177.03,1.007,8.65,
SLB,SLB,System1(단기),관심,False,False,True,53.76,53.79,53.99,48.3,0.996,1.81,
STX,STX,System1(단기),진입,True,False,False,957.01,990.61,936.49,761.8,1.058,74.35,
NOW,NOW,System1(단기),관심,False,False,True,123.95,128.65,129.75,106.05,0.992,6.82,
SWKS,SWKS,System1(단기),관심,False,False,True,70.18,70.4,70.75,59.92,0.995,2.85,
STT,STT,System1(단기),관심,False,False,True,190.1,190.71,191.61,180.94,0.995,3.95,
STT,STT,System2(중장기),관심,False,False,True,190.1,190.71,192.51,175.5,0.991,3.95,
SYF,SYF,System1(단기),확정,False,False,True,80.42,80.71,80.5,74.36,1.003,1.98,80.58
SYF,SYF,System2(중장기),확정,False,False,True,80.42,80.71,80.5,70.35,1.003,1.98,80.58
TGT,TGT,System1(단기),관심,False,False,True,155.39,156.33,156.47,139.98,0.999,3.79,
TGT,TGT,System2(중장기),관심,False,False,True,155.39,156.33,156.47,131.54,0.999,3.79,
TKO,TKO,System1(단기),진입,True,False,False,201.66,202.69,199.8,179.0,1.014,4.93,
USB,USB,System1(단기),관심,False,False,True,65.23,65.56,65.61,62.54,0.999,1.03,
USB,USB,System2(중장기),관심,False,False,True,65.23,65.56,65.61,62.34,0.999,1.03,
VLO,VLO,System1(단기),진입,True,False,False,345.02,346.09,343.73,291.46,1.007,11.62,
VLO,VLO,System2(중장기),진입,True,False,False,345.02,346.09,343.73,291.46,1.007,11.62,
VEEV,VEEV,System1(단기),관심,False,False,True,245.73,253.47,253.35,199.01,1.0,9.04,
VEEV,VEEV,System2(중장기),관심,False,False,True,245.73,253.47,253.35,179.25,1.0,9.04,
VZ,VZ,System1(단기),관심,False,False,True,48.45,48.6,49.01,45.09,0.992,1.26,
VZ,VZ,System2(중장기),관심,False,False,True,48.45,48.6,49.01,42.89,0.992,1.26,
DIS,DIS,System1(단기),진입,True,False,False,106.27,106.79,105.25,95.6,1.015,2.28,
DIS,DIS,System2(중장기),진입,True,False,False,106.27,106.79,105.25,92.49,1.015,2.28,
WBD,WBD,System1(단기),관심,False,False,True,27.73,27.88,28.08,25.4,0.993,0.55,
WBD,WBD,System2(중장기),관심,False,False,True,27.73,27.88,28.08,25.25,0.993,0.55,
WFC,WFC,System1(단기),관심,False,False,True,88.45,88.83,89.66,84.95,0.991,1.76,
WFC,WFC,System2(중장기),관심,False,False,True,88.45,88.83,89.66,83.23,0.991,1.76,
ZBRA,ZBRA,System1(단기),관심,False,False,True,376.08,384.2,386.23,286.29,0.995,14.29,
ZBRA,ZBRA,System2(중장기),관심,False,False,True,376.08,384.2,386.23,253.71,0.995,14.29,
ZBH,ZBH,System1(단기),관심,False,False,True,100.42,101.15,101.8,91.07,0.994,2.98,
ZBH,ZBH,System2(중장기),관심,False,False,True,100.42,101.15,101.8,87.87,0.994,2.98,
